name,year,attendee_count
Aquatica Orlando,2010,1500000
Aquatica Orlando,2009,1600000
Aquatica Orlando,2008,950000
Schlitterbahn,2017,1006000
Schlitterbahn,2016,1037000
Schlitterbahn,2015,1037000
Schlitterbahn,2014,1037000
Schlitterbahn,2013,1027000
Schlitterbahn,2012,1017000
Water Country USA,2023,736000
Water Country USA,2022,707000
Water Country USA,2021,700000
Water Country USA,2020,0
Water Country USA,2019,736000
Water Country USA,2018,729000
Water Country USA,2017,711000
Water Country USA,2016,733000
Water Country USA,2015,726000
Water Country USA,2014,726000
Water Country USA,2013,726000
Water Country USA,2012,748000
Water Country USA,2011,723000
Water Country USA,2010,784000
Water Country USA,2009,700000
Water Country USA,2008,758000
Water Country USA,2007,773000
Water Country USA,2006,670000
Adventure Island,2023,640000
Adventure Island,2022,636000
Adventure Island,2021,593000
Adventure Island,2020,125000
Adventure Island,2019,656000
Adventure Island,2018,669000
Adventure Island,2017,631000
Adventure Island,2016,650000
Adventure Island,2015,663000
Adventure Island,2014,644000
Adventure Island,2013,638000
Adventure Island,2012,651000
Adventure Island,2011,644000
Adventure Island,2010,626000
Adventure Island,2009,600000
Adventure Island,2008,603000
Adventure Island,2007,615000
Adventure Island,2006,609000
Six Flags White Water,2017,559000
Six Flags White Water,2016,568000
Six Flags Hurricane Harbor,2017,533000
Six Flags Hurricane Harbor,2016,549000
Six Flags Hurricane Harbor,2015,440000
Six Flags Hurricane Harbor,2014,423000
Six Flags Hurricane Harbor,2013,432000
Six Flags Hurricane Harbor,2012,424000
